Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
20;1000020;2НДФЛ;Ремонт;1;0.35;женский;1;0;второе высшее;специалист;>250;1;9;45;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1000040;2НДФЛ;Ремонт;1;0.49;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;1;76;50;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1000060;2НДФЛ;Ремонт;0;0.32;мужской;0;0;высшее;менеджер среднего звена;>250;0;225;56;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1000080;Поступление зарплаты на счет;Ремонт;1;0.59;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;>250;0;9;27;Другое;ООО;холост / не замужем;4;3;2;2;1;0.226993865;1;2;0;0;0.5;6;6;126;12;4;0;5;72;1;0;0;0;1;0;0
20;1000100;2НДФЛ;Ремонт;1;0.58;женский;0;0;высшее;вспомогательный персонал;>250;0;22;26;Информационные технологии;ООО;женат / замужем;9;6;1;1;0;0.3620689655;0;2;2;2;0.2857142857;2;5;37;7;1;0;1;89;1;1;0;0;0;0;0
20;1000120;Форма банка (без печати работодателя);Покупка мебели;0;0.58;женский;0;0;второе высшее;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1000140;Поступление зарплаты на счет;Другое;0;0.44;женский;0;0;второе высшее;менеджер высшего звена;>250;1;18;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1000160;Поступление зарплаты на счет;Покупка бытовой техники;1;0.16;женский;0;0;высшее;вспомогательный персонал;>250;0;71;30;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1000180;Форма банка (без печати работодателя);Ремонт;1;0.18;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;359;51;Другое;Государственное предприятие;холост / не замужем;0;0;0;0;0;0.0952380952;1;1;0;0;0.3333333333;1;2;19;3;0;2;4;12;1;0;0;0;0;0;0
20;1000200;Поступление зарплаты на счет;Другое;0;0.59;женский;0;0;высшее;менеджер среднего звена;>250;0;46;23;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1000220;Поступление зарплаты на счет;Ремонт;1;0.3;мужской;0;0;среднее-специальное;менеджер среднего звена;>250;0;8;25;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1000240;;Покупка недвижимости/ строительство;0;;женский;1;0;высшее;другое;;1;99;30;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1000260;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.48;женский;0;0;среднее-специальное;рабочий;>250;0;14;54;Торговля;ЗАО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
20;1000280;Форма банка (без печати работодателя);Ремонт;0;0.39;женский;0;0;высшее;менеджер высшего звена;>250;0;45;50;Другое;ООО;женат / замужем;1;1;0;0;0;0;0;0;0;0;0.5;1;1;29;2;0;0;12;19;0;0;0;0;0;0;0
