,product_rk,store_location_rk,period_start_dt,demand,PROMO1_FLAG,PROMO2_FLAG,PRICE_REGULAR,PRICE_AFTER_DISC,NUM_CONSULTANT,AUTORIZATION_FLAG
0,40369,309,2016-12-19,29.0,,,,,,
1,40370,309,2016-12-19,64.0,,,,,,
2,40372,309,2016-12-19,32.0,,,,,,
3,40373,309,2016-12-19,10.0,,,,,,
4,46272,309,2016-12-19,15.0,,,,,,
5,40369,309,2016-12-26,127.0,,,,,,
6,40370,309,2016-12-26,181.0,,,,,,
7,40372,309,2016-12-26,88.0,,,,,,
8,40373,309,2016-12-26,61.0,,,,,,
9,46272,309,2016-12-26,23.0,,,,,,
10,40369,309,2017-01-02,50.0,,,,,,
11,40370,309,2017-01-02,70.0,,,,,,
12,40372,309,2017-01-02,30.0,,,,,,
13,40373,309,2017-01-02,42.0,,,,,,
14,46272,309,2017-01-02,13.0,,,,,,
15,40369,317,2016-12-19,50.0,,,,,,
16,40370,317,2016-12-19,44.0,,,,,,
17,40372,317,2016-12-19,13.0,,,,,,
18,40373,317,2016-12-19,6.0,,,,,,
19,46272,317,2016-12-19,34.0,,,,,,
20,40369,317,2016-12-26,65.0,1.0,0.0,500.0,500.0,0.0,1.0
21,40370,317,2016-12-26,83.0,1.0,0.0,1000.0,1000.0,0.0,1.0
22,40372,317,2016-12-26,30.0,1.0,0.0,2000.0,2000.0,0.0,1.0
23,40373,317,2016-12-26,7.0,1.0,0.0,3000.0,3000.0,0.0,1.0
24,46272,317,2016-12-26,35.0,1.0,0.0,157.0,157.0,0.0,1.0
25,40369,317,2017-01-02,41.251366,1.0,0.0,500.0,500.0,0.0,1.0
26,40370,317,2017-01-02,73.803279,1.0,0.0,1000.0,1000.0,0.0,1.0
27,40372,317,2017-01-02,26.579234999999997,1.0,0.0,2000.0,2000.0,0.0,1.0
28,40373,317,2017-01-02,10.322403999999999,1.0,0.0,3000.0,3000.0,0.0,1.0
29,46272,317,2017-01-02,26.1,1.0,0.0,157.0,157.0,0.0,1.0
30,40369,317,2017-01-09,13.0,0.0,0.0,500.0,500.0,0.0,1.0
31,40370,317,2017-01-09,14.0,0.0,0.0,1000.0,1000.0,0.0,1.0
32,40372,317,2017-01-09,2.0,0.0,0.0,2000.0,2000.0,0.0,1.0
33,40373,317,2017-01-09,1.0,0.0,0.0,3000.0,3000.0,0.0,1.0
34,46272,317,2017-01-09,5.0,1.0,0.0,157.0,157.0,0.0,1.0
35,40369,317,2017-01-16,11.0,0.0,0.0,500.0,500.0,0.0,1.0
36,40370,317,2017-01-16,9.0,0.0,0.0,1000.0,1000.0,0.0,1.0
37,40372,317,2017-01-16,2.0,0.0,0.0,2000.0,2000.0,0.0,1.0
38,40373,317,2017-01-16,1.0,0.0,0.0,3000.0,3000.0,0.0,1.0
39,46272,317,2017-01-16,16.0,1.0,0.0,157.0,157.0,0.0,1.0
40,40369,317,2017-01-23,2.0,0.0,0.0,500.0,500.0,0.0,1.0
41,40370,317,2017-01-23,12.0,0.0,0.0,1000.0,1000.0,0.0,1.0
