target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,,140000,0,0,0,34.218548387,38.497103077,4.0601092896,,,10.056007186,7
0,OTHER,elementary,Corporate,119510,0,1,1,1.1155689964,28.191780822,2.0328767123,1,1,8.1095890411,11
0,OTHER,elementary,VIP,146841,0,1,0,30.530913978,36.531072685,0.5776480275,0,0,7.737704918,17
0,OTHER,elementary,Corporate,102915,0,1,2,1.174484767,54.064218879,1.4587394266,0,0,8.8888764129,21
0,OTHER,elementary,Corporate,183461,0,1,0,1.186984767,44.063013699,0.5121940265,1,1,2.6493150685,24
0,2NDFL,elementary,Corporate,51581,0,1,,,29.050445393,0.5805000374,,,6.2,26
0,OTHER,elementary,Corporate,39713,0,1,0,1362.5046819,25.326611273,0.8484691968,1,1,5.2145894154,28
0,2NDFL,high,,27697,0,0,0,1.5057123656,26.873972603,3.5835616438,0,0,6.5726027397,39
0,OTHER,elementary,Corporate,127416,0,1,1,0.9881944444,28.155737705,7.5926641216,1,1,7.8224043716,40
0,OTHER,advanced,Corporate,25448,0,1,,,55.428961749,7.6612021858,,,9.922853507,42
0,OTHER,elementary,,123044,0,0,1,0.9526433692,35.986338798,2.7950819672,0,0,6.0005614193,44
0,OTHER,advanced,Corporate,56194,0,1,0,0.4431003584,30.257534247,0.4898270829,0,0,8.7821768096,45
0,OTHER,advanced,Corporate,56194,0,1,0,0.4431003584,30.257534247,0.4898270829,0,0,8.7821768096,46
0,2NDFL,elementary,,108000,0,0,0,1.1875,34.347945205,0.4401976196,1,1,11.304109589,48
0,OTHER,elementary,Corporate,102207,0,0,1,0.0489023297,34.24109589,8.8737405494,2,2,10.282191781,50
0,2NDFL,elementary,,,0,1,,,25.901369863,1.173291414,,,5.8684931507,53
0,OTHER,beginner,Corporate,83623,0,1,1,0.2176299283,28.965596227,3.7158469945,0,0,8.4207650273,56
0,2NDFL,elementary,,51173,0,0,,,45.061269556,2.6054794521,,,0.0164383562,58
0,OTHER,elementary,Corporate,66175,0,1,0,7.5651433692,35.819672131,3.1020959653,0,0,10.773328842,66
0,2NDFL,advanced,Corporate,63617,0,1,,,26.008219178,0.4630136986,,,1.4329590538,67
0,2NDFL,elementary,,94288,0,0,0,7.5362231183,28.839553859,4.528078449,0,0,8.1287671233,75
0,OTHER,elementary,,19000,0,0,0,,26.2750131,1.696930908,,,6.2037802231,78
0,OTHER,elementary,Corporate,44153,0,0,,,31.857534247,0.4273972603,,,8.9123287671,83
0,OTHER,advanced,Corporate,33699,0,1,1,1.2148073477,39.488397335,1.2883973351,0,0,10.176068568,85
0,2NDFL,advanced,,19323,0,0,2,0.7904121864,52.672131148,12.969945355,0,0,7.2329590538,95
0,2NDFL,advanced,,19323,0,0,2,0.7904121864,52.672131148,12.969945355,0,0,7.2329590538,96
0,OTHER,elementary,Corporate,221961,0,1,,,39.268493151,6.2465753425,,,10.775342466,98
0,OTHER,elementary,Corporate,119790,0,1,0,0.5337365591,41.178164533,5.5644659031,0,0,10.701452205,101
0,2NDFL,elementary,,35865,0,0,1,0.469422043,31.871584699,6.0008832996,1,1,9.7789654914,117
0,2NDFL,elementary,,,0,1,6,0.3811827957,31.187341867,2.8558350176,0,0,7.9016393443,139
0,2NDFL,elementary,,,0,1,6,0.3811827957,31.187341867,2.8558350176,0,0,7.9016393443,140
0,2NDFL,elementary,,,0,1,6,0.3811827957,31.187341867,2.8558350176,0,0,7.9016393443,143
0,2NDFL,elementary,,114108,0,0,1,1.275,48.235556554,0.956868029,0,0,3.0493150685,148
0,OTHER,beginner,Corporate,150903,0,1,0,0.6006272401,27.87704918,0.3579234973,0,0,7.3620330863,150
0,OTHER,elementary,,50000,0,0,,,51.778688525,2.6094243581,,,6.2423010704,159
0,OTHER,beginner,Corporate,193399,0,1,0,45.304569892,39.37704918,4.7447713152,1,1,12.071038251,168
0,2NDFL,beginner,,34800,0,0,0,,43.942622951,1.0967737106,0,1,7.1515682312,171
0,2NDFL,advanced,,12142,0,0,0,22.053987455,44.297814208,3.3661202186,1,2,8.0027322404,173
0,OTHER,elementary,Corporate,236191,0,1,,,32.353424658,1.4246575342,,,10.673972603,174
0,OTHER,advanced,,30000,0,0,1,0.7871415771,41.832876712,2.4054794521,1,1,11,176
0,OTHER,elementary,Corporate,43424,0,1,,,36.729942361,2.6849315068,,,12.959450558,180
0,OTHER,elementary,VIP,566707,1,1,0,57.735909498,37.303473314,0.5664870125,0,0,11.513661202,203
0,OTHER,elementary,,65000,0,0,0,2.5676747312,33.373313871,2.6767123288,2,2,10.657534247,206
0,OTHER,elementary,,40000,0,0,,,25.072303316,0.7908825511,,,4.9876038626,208
0,OTHER,elementary,VIP,80000,0,0,0,32.115456989,56.716153904,4.1123287671,,,10.808219178,212
0,OTHER,elementary,Corporate,43788,0,1,1,1.0813620072,25.561643836,0.7679167602,0,0,5.4904109589,215
0,OTHER,elementary,Corporate,35100,0,1,0,,25.865753425,0.3668762632,0,0,5.8082191781,220
0,OTHER,elementary,Corporate,30264,0,1,,,28.057534247,0.4438356164,,,3.2356164384,223
0,OTHER,elementary,,80000,0,0,1,1.1821908602,35.5,1.2923497268,0,0,13.777281234,230
0,OTHER,advanced,,30000,0,0,0,0.8846774194,56.512201512,0.6324200913,1,1,6.1479452055,233
0,OTHER,elementary,,30000,0,0,1,0.9603046595,33.33050378,1.5332435063,0,0,2.305846246,238
0,OTHER,elementary,,170000,0,0,,,34.863013699,3.0328767123,,,10.260273973,239
0,OTHER,beginner,VIP,298747,0,1,1,0.7934811828,39.151246351,7.3676847069,0,0,9.8197395015,240
0,OTHER,beginner,VIP,298747,0,1,1,0.7934811828,39.151246351,7.3676847069,0,0,9.8197395015,241
0,OTHER,elementary,,120000,0,0,0,12.146594982,55.126027397,16.894288495,0,0,8.0602739726,250
0,2NDFL,beginner,,,0,1,1,0.2382168459,49.232876712,5.3123287671,0,0,4.194153754,256
0,2NDFL,beginner,,,0,1,1,0.2382168459,49.232876712,5.3123287671,0,0,4.194153754,257
0,2NDFL,beginner,,,0,1,1,0.2382168459,49.232876712,5.3123287671,0,0,4.194153754,258
0,2NDFL,elementary,,87765,0,0,0,2.2523521505,26.67881578,2.0705966015,0,0,6.5993637248,262
0,OTHER,elementary,Corporate,46876,0,1,,,31.571038251,7.0729695336,,,4.5551613145,270
0,OTHER,elementary,,60000,0,0,0,62.697827061,34.709589041,2.6630136986,,,6.0410958904,273
0,OTHER,beginner,Corporate,176109,0,1,3,0.695766129,28.669398907,7.170589116,1,1,7.9672131148,285
0,OTHER,beginner,Corporate,176109,0,1,3,0.695766129,28.669398907,7.170589116,1,1,7.9672131148,286
0,OTHER,elementary,,35000,0,0,,,58.046575342,10.4,,,5.3672804851,291
0,OTHER,elementary,,160000,0,0,0,0.9296146953,30.463013699,0.7175761659,1,1,9.5727674227,297
0,OTHER,advanced,,60000,0,0,1,0.8965949821,38.794520548,7.2931506849,1,1,11.243835616,309
0,OTHER,elementary,Corporate,113462,0,1,1,0.6332437276,50.142465753,5.2136986301,0,0,4.8858297777,316
0,OTHER,advanced,Corporate,62389,0,0,1,0.28125,48.235616438,7.6328767123,1,3,3.2,331
0,OTHER,elementary,Corporate,77647,0,1,1,3.3453629032,33.417830676,10.406871772,0,0,9.5602964294,334
0,OTHER,elementary,Corporate,26512,0,1,0,56.307549283,48.982027098,0.8724380567,0,1,3.8825136612,347
0,2NDFL,elementary,Corporate,77608,0,0,1,0.4450268817,30.624657534,0.705224942,1,1,10.189041096,350
0,OTHER,advanced,Corporate,16704,0,1,0,24.570564516,47.302253163,3.7677595628,0,0,2.2091024777,357
0,OTHER,elementary,Corporate,26387,0,1,1,2.0850806452,40.163934426,0.3114754098,0,0,13.434081892,359
0,OTHER,elementary,Corporate,201278,0,1,1,0.317405914,45.868493151,4.0246575342,1,1,0.8427951194,366
0,OTHER,elementary,,100000,0,0,1,0.5659498208,38.019178082,6.2767123288,0,0,6.3232876712,370
0,2NDFL,advanced,,30569,0,0,2,0.8203405018,38.583561644,16.631731417,0,0,11.271232877,374
0,2NDFL,advanced,,30569,0,0,2,0.8203405018,38.583561644,16.631731417,0,0,11.271232877,375
0,2NDFL,elementary,,88617,0,0,0,0.6008960573,38.455835018,3.2065199491,0,0,10.576382963,378
0,2NDFL,elementary,,57907,0,0,,,27.126027397,2.7643835616,,,6.9561643836,382
0,2NDFL,elementary,,26322,0,0,1,4.4076836918,33.98630137,13.539726027,1,1,10.424657534,384
0,OTHER,advanced,Corporate,62920,0,1,0,1.4121863799,48.854562467,12.186069317,0,0,3.8114754098,386
0,OTHER,elementary,Corporate,72981,0,1,0,21.173767921,35.909589041,9.4657534247,1,1,7.7780821918,390
0,OTHER,advanced,Corporate,29667,0,1,,,49.204476383,14.785298301,,,4.1147540984,393
0,2NDFL,elementary,,43500,0,0,1,0.7260304659,47.680013474,1.3813833371,2,2,2.6580956658,398
0,OTHER,elementary,,70000,0,0,0,1.0810483871,25.923287671,1.0565311775,1,1,5.904109589,403
