INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
2NDFL,elementary,,26106,0,0,0,1.6668010753,24.353192604,3.2841530055,1,1,4.2682610974,12
2NDFL,elementary,,30276,0,0,1,0.6604614695,23.5344936,3.5810689423,0,0,1.4112059286,27
2NDFL,advanced,,23147,0,0,0,4.3420250896,24.58002096,0.6457743843,0,1,4.5444045213,33
2NDFL,advanced,,33116,0,0,0,0.7587141577,23.284153005,0.9011303241,0,0,3.1830601093,41
2NDFL,elementary,,45972,0,0,,,24.52853507,1.4052473988,,,3.5819672131,55
OTHER,elementary,Corporate,25680,0,1,,,23.271232877,0.4876712329,,,3.0712328767,62
OTHER,elementary,Corporate,172783,0,0,,,24.049315068,0.2767123288,,,4.002739726,89
OTHER,advanced,Corporate,130500,0,1,0,0.9892697133,23.516393443,0.6755520623,0,0,3.3906205554,90
2NDFL,elementary,,,0,1,,,22.017164458,0.4453551913,,,1.9294932255,160
OTHER,elementary,Corporate,91657,0,0,1,0.5726030466,24.317808219,0.5424657534,1,1,3.704109589,169
OTHER,high,,60000,0,0,1,0.8318996416,23.720637772,0.6584699454,0,0,3.6083090052,179
2NDFL,elementary,,33796,0,0,0,1362.5091174,24.490410959,0.7419118197,1,1,4.4410958904,181
2NDFL,elementary,,60801,0,0,,,23.126910697,2.6310202859,,,3.0666367243,189
OTHER,elementary,Corporate,49286,0,1,,,24.361643836,0.2383561644,,,4.2684931507,218
OTHER,advanced,Corporate,15038,0,1,,,24.46201063,1.4209147391,,,4.3005464481,224
2NDFL,elementary,,23178,0,0,0,,24.180327869,1.7654165731,0,0,4.0683060109,242
OTHER,high,Corporate,56738,0,1,2,0.6356854839,24.43715847,6.0742196272,1,1,4.3852459016,253
2NDFL,advanced,,11450,0,0,,,23.428961749,0.7964593158,,,1.4211168501,290
OTHER,advanced,Corporate,33564,0,1,1,0.3413978495,23.244082641,0.2595628415,0,0,0.718579235,300
OTHER,elementary,,55000,0,0,,,23.833333333,0.5444045213,,,3.7868852459,312
OTHER,elementary,Corporate,35194,0,1,,,23.721311475,1.8750130998,,,3.6393442623,338
OTHER,elementary,,40000,0,0,,,24.295081967,5.0097986376,,,4.1120218579,344
OTHER,advanced,Corporate,14930,0,1,,,23.0043117,0.325136612,,,2.9303390972,356
2NDFL,elementary,Corporate,104812,0,0,0,0.6934363799,24.921580957,1.2859645183,2,2,4.8119919156,360
OTHER,elementary,Corporate,24022,0,1,0,4.9839829749,23.323534696,1.9098360656,0,0,3.2413429149,368
OTHER,elementary,Corporate,19575,0,1,0,,23.669398907,0.7739875739,0,0,3.5737704918,404
2NDFL,elementary,,22688,0,0,0,,24.710794221,2.0861366869,0,0,4.6505202485,406
2NDFL,elementary,,,0,1,,,23.761643836,4.6623624523,,,1.2825810315,413
OTHER,elementary,,36852,0,0,1,1.4094758065,24.087431694,1.2713227038,1,1,1.189130923,424
2NDFL,high,,22795,0,0,0,20.860058244,24.647540984,4.6393442623,1,1,4.6229508197,438
OTHER,high,Corporate,31912,0,1,,,24.593884273,1.3370536717,,,1.6356164384,447
OTHER,high,Corporate,40594,0,1,,,23.046575342,0.6760236545,,,2.9260273973,454
2NDFL,advanced,,29635,0,0,0,,24.699453552,4.0300546448,0,0,1.8770866083,459
OTHER,beginner,Corporate,130567,0,1,1,0.2850806452,24.997986376,1.1130548694,0,0,3.9071038251,463
OTHER,elementary,Corporate,32190,0,1,,,24.219178082,0.5776629987,,,4.1068493151,464
OTHER,elementary,Corporate,29533,0,1,0,1.1816532258,23.109589041,2.6164383562,0,0,3.0904109589,479
2NDFL,advanced,,29397,0,0,1,1.0866935484,24.982760686,1.4594730144,1,1,4.9581031514,499
OTHER,elementary,,30000,0,0,1,0.763687276,23.619178082,0.3860019463,0,1,3.5835616438,505
2NDFL,elementary,,47757,0,0,1,1.7975358423,23.295890411,1.0522194775,0,0,2.2082191781,506
OTHER,elementary,Corporate,60324,0,1,0,0.4034722222,24.237704918,3.0305112658,0,0,4.0191256831,534
OTHER,advanced,Corporate,51451,0,1,0,20.209274194,24.69144397,2.6229508197,0,0,4.655827532,535
OTHER,advanced,Corporate,32926,0,1,1,1.1797715054,24.725226439,1.7855004117,0,0,4.5416647953,557
OTHER,elementary,Corporate,48000,0,0,,,24.169398907,0.8667939217,,,4.0683060109,567
OTHER,advanced,Corporate,18809,0,1,1,0.9799955197,24.661306984,1.1681562991,0,0,4.5792349727,580
OTHER,advanced,Corporate,41738,0,0,,,23.073972603,0.5945205479,,,2.8493150685,596
2NDFL,elementary,,37605,0,0,0,0.5663530466,24.246575342,6.8,1,1,4.1753424658,601
2NDFL,high,,51375,0,0,0,,24.72853507,2.2353843851,0,0,4.3148364399,605
OTHER,elementary,Corporate,51790,0,1,0,,24.448154802,0.4947301445,0,0,4.3278688525,607
OTHER,elementary,Corporate,31959,0,1,,,23.216438356,0.8293435137,,,3.1232876712,616
2NDFL,elementary,,16883,0,0,,,23.432876712,0.6930009731,,,3.3424657534,626
OTHER,elementary,Corporate,23034,0,1,0,1.2515456989,24.046448087,1.0070589116,0,0,3.9480874317,627
2NDFL,elementary,,26056,0,0,,,24.664922524,0.7988023056,,,4.5911520323,640
OTHER,elementary,,50000,0,0,,,24.469945355,0.6284153005,,,4.3879781421,641
OTHER,advanced,Corporate,26568,0,1,0,11.212163978,23.093150685,2.3123287671,0,0,2.9945205479,657
OTHER,elementary,Corporate,30664,0,1,0,,24.985290815,0.9551538289,0,0,4.8291264316,659
OTHER,elementary,Corporate,43065,0,1,,,24.866120219,2.054876862,,,4.7595628415,669
OTHER,elementary,Corporate,100002,0,1,0,0.6987455197,23.74863388,0.8488809043,0,1,3.6994535519,696
2NDFL,elementary,Corporate,39718,0,0,0,0.6344086022,24.505464481,0.2103825137,0,0,4.2267759563,697
2NDFL,high,,,0,0,0,3.5370295699,23.967213115,1.54819223,0,0,3.0112059286,702
2NDFL,advanced,,15051,0,0,0,7.8605734767,23.724043716,2.0066846321,1,1,3.6803278689,719
OTHER,elementary,Corporate,32264,0,1,,,24.016438356,1.5917808219,,,4.0054794521,742
2NDFL,advanced,Corporate,24048,0,0,,,24.960842877,1.0567332884,,,4.810157946,765
2NDFL,elementary,,12213,0,0,1,1.2749103943,23.759278389,4.7295081967,0,0,3.751059211,779
2NDFL,elementary,,10314,0,0,1,0.6657706093,24.80894528,1.0171644584,0,0,0.6147540984,790
OTHER,beginner,Corporate,39002,0,1,,,24.443057115,0.6834942735,,,4.4075379894,792
OTHER,advanced,Corporate,32431,0,1,,,24.593742047,1.1456546149,,,1.9698630137,800
2NDFL,elementary,,39237,0,0,1,0.5099462366,24.717321656,0.3780821918,1,2,4.6025675575,807
OTHER,elementary,Corporate,46382,0,1,0,1.0903001792,24.826394191,2.108585972,0,0,4.7250243282,812
OTHER,high,,35000,0,0,0,,24.038251366,0.2896174863,1,1,4.0218579235,833
OTHER,elementary,Corporate,37301,0,1,,,24.388135339,2.4767123288,,,4.2925069242,843
2NDFL,elementary,,34558,0,0,,,24.966689123,1.1584699454,,,4.9146343289,855
