iter	MultiClass
0	2.13806595
1	2.027774676
2	1.944299589
3	1.866725785
4	1.789870148
5	1.719183126
6	1.664857011
7	1.624084276
8	1.577713335
9	1.547621034
10	1.518561155
11	1.490941475
12	1.468391097
13	1.448539147
14	1.426444004
15	1.403635704
16	1.38143912
17	1.3646168
18	1.344655107
19	1.33163227
20	1.318343585
21	1.302197784
22	1.291865306
23	1.276287682
24	1.268261152
25	1.255280347
26	1.245598719
27	1.236489629
28	1.225880426
29	1.215047172
30	1.206267027
31	1.198688796
32	1.193548984
33	1.186054947
34	1.178615981
35	1.17017529
36	1.158258513
37	1.147300063
38	1.137168467
39	1.128620148
40	1.122076596
41	1.115597332
42	1.109422455
43	1.102790613
44	1.095894215
45	1.087941549
46	1.079449916
47	1.071146634
48	1.063719083
49	1.058869862
50	1.052146052
51	1.046518117
52	1.042085767
53	1.035088494
54	1.029537079
55	1.024413331
56	1.019816634
57	1.014340725
58	1.006937559
59	1.001186278
60	0.99753573
61	0.9927551016
62	0.9886023717
63	0.9829027651
64	0.9793225247
65	0.9743033172
66	0.9715221393
67	0.9650856343
68	0.9608487059
69	0.9539596684
70	0.9480126342
71	0.9440887677
72	0.9404253383
73	0.9353278754
74	0.9309273193
75	0.9238069141
76	0.9175087485
77	0.9122208878
78	0.908286774
79	0.9045530921
80	0.8994016873
81	0.8943576973
82	0.8895824089
83	0.885671947
84	0.8811962822
85	0.8772773118
86	0.8741507494
87	0.8702748712
88	0.8670463393
89	0.8636646663
90	0.8605020959
91	0.8569373564
92	0.8519735851
93	0.8469880701
94	0.8434660879
95	0.8397513442
96	0.8377563629
97	0.8336813428
98	0.8294055647
99	0.8261291882
100	0.8235926758
101	0.8200568423
102	0.8156411956
103	0.8101232312
104	0.8091211612
105	0.8064299445
106	0.8028227688
107	0.8007783646
108	0.7960183796
109	0.7923011375
110	0.7899043168
111	0.7859810006
112	0.7835392206
113	0.7797686686
114	0.7770799763
115	0.7733802561
116	0.7712495099
117	0.7678788247
118	0.7650551905
119	0.7630926194
120	0.7588178401
121	0.7551868736
122	0.7531730706
123	0.7493602568
124	0.7460302089
125	0.7445326168
126	0.7415763882
127	0.7384345799
128	0.7363328661
129	0.7340246375
130	0.7327429929
131	0.7290941756
132	0.7261742794
133	0.7243672974
134	0.7216551987
135	0.7196403389
136	0.7183772485
137	0.7167177476
138	0.7145628674
139	0.7127573407
140	0.711351224
141	0.7088887902
142	0.7060862117
143	0.7036535489
144	0.7007188537
145	0.6974263861
146	0.6951619539
147	0.6928001219
148	0.6902294023
149	0.6878497558
150	0.6848399392
151	0.6825231481
152	0.6801309281
153	0.6772882109
154	0.675114932
155	0.6719038551
156	0.6701052095
157	0.6687126759
158	0.6671013928
159	0.6653785651
160	0.6621091834
161	0.6605200858
162	0.6586577848
163	0.6564788257
164	0.6543038669
165	0.6531446772
166	0.6505176735
167	0.6487989347
168	0.6473654896
169	0.6455925211
