iter	Passed	Remaining
0	99	49624
1	206	51389
2	336	55711
3	452	56087
4	571	56572
5	679	55948
6	805	56717
7	926	56970
8	1042	56886
9	1158	56742
10	1297	57692
11	1415	57557
12	1530	57330
13	1642	57035
14	1768	57179
15	1884	56998
16	2008	57072
17	2136	57218
18	2261	57245
19	2378	57090
20	2498	56982
21	2630	57162
22	2770	57461
23	2917	57868
24	3048	57919
25	3159	57605
26	3274	57361
27	3400	57318
28	3524	57244
29	3651	57207
30	3793	57394
31	3908	57166
32	4023	56945
33	4133	56648
34	4247	56435
35	4363	56240
36	4482	56088
37	4603	55969
38	4727	55881
39	4849	55774
40	4981	55765
41	5093	55546
42	5208	55357
43	5317	55111
44	5439	54997
45	5551	54786
46	5667	54629
47	5796	54581
48	5912	54423
49	6029	54268
50	6167	54296
51	6298	54266
52	6431	54239
53	6555	54144
54	6674	54002
55	6789	53831
56	6906	53677
57	7014	53458
58	7148	53431
59	7272	53330
60	7399	53250
61	7531	53208
62	7701	53420
63	7852	53495
64	7984	53431
65	8108	53320
66	8248	53307
67	8395	53333
68	8527	53267
69	8664	53224
70	8808	53220
71	8937	53125
72	9054	52963
73	9164	52758
74	9286	52623
75	9410	52499
76	9521	52307
77	9657	52251
78	9818	52325
79	9944	52211
80	10066	52071
81	10192	51955
82	10323	51866
83	10465	51828
84	10593	51719
85	10712	51569
86	10833	51427
87	10958	51304
88	11081	51172
89	11268	51335
90	11440	51418
91	11603	51460
92	11790	51600
93	11990	51788
94	12171	51889
95	12342	51939
96	12526	52042
97	12697	52084
98	12865	52111
99	13000	52003
100	13141	51915
101	13304	51914
102	13447	51829
103	13636	51925
104	13812	51961
105	13951	51856
106	14094	51766
107	14218	51607
108	14341	51445
109	14498	51403
110	14623	51246
111	14768	51160
112	14875	50943
113	14985	50740
114	15107	50575
115	15228	50412
116	15346	50235
117	15461	50054
118	15670	50171
119	15807	50055
120	15948	49955
121	16057	49752
122	16167	49552
123	16273	49345
124	16381	49145
125	16498	48972
126	16614	48797
127	16811	48859
128	16959	48775
129	17111	48702
130	17236	48552
131	17359	48396
132	17485	48248
133	17612	48105
134	17741	47967
135	17866	47819
136	17990	47668
137	18116	47521
138	18267	47443
139	18396	47305
140	18528	47174
141	18649	47018
142	18771	46864
143	18891	46704
144	19042	46621
145	19183	46513
146	19336	46434
147	19469	46306
148	19595	46160
149	19712	45996
150	19830	45832
151	19944	45662
152	20075	45531
153	20245	45485
154	20364	45327
155	20488	45179
156	20623	45056
157	20781	44982
158	20908	44841
159	21028	44684
160	21141	44515
161	21256	44349
162	21361	44163
163	21487	44023
164	21601	43856
165	21733	43727
166	21848	43565
167	21983	43442
168	22119	43323
169	22238	43169
170	22350	43002
171	22476	42861
172	22598	42715
