Id,Category
0,russianpost
1,mchsgov
2,mil
3,mil
4,mil
5,mil
6,mchsgov
7,mchsgov
8,mchsgov
9,russianpost
10,mospolice
11,russianpost
12,mil
13,mchsgov
14,mil
15,russianpost
16,mil
17,russianpost
18,mil
19,russianpost
20,mil
21,mil
22,mchsgov
23,mil
24,mil
25,mchsgov
26,mil
27,russianpost
28,mchsgov
29,russianpost
30,russianpost
31,mil
32,mil
33,mchsgov
34,mospolice
35,mchsgov
36,mchsgov
37,mchsgov
38,mchsgov
39,mospolice
40,russianpost
41,mospolice
42,mil
43,russianpost
44,mil
45,russianpost
46,russianpost
47,mil
48,mil
49,russianpost
50,mil
51,mospolice
52,mospolice
53,mil
54,russianpost
55,mil
56,russianpost
57,mospolice
58,russianpost
59,mil
60,russianpost
61,mospolice
62,russianpost
63,russianpost
64,mospolice
65,mchsgov
66,russianpost
67,mil
68,russianpost
69,mchsgov
70,mil
71,russianpost
72,russianpost
73,russianpost
74,russianpost
75,mil
76,russianpost
77,russianpost
78,mospolice
79,mospolice
80,russianpost
81,mchsgov
82,mospolice
83,mchsgov
84,russianpost
85,mospolice
86,mchsgov
87,mospolice
88,mil
89,mil
90,mil
91,mchsgov
92,mchsgov
93,russianpost
94,mchsgov
95,mil
96,russianpost
97,russianpost
98,mchsgov
99,mospolice
100,mospolice
101,mil
102,mchsgov
103,russianpost
104,mospolice
105,russianpost
106,mil
107,russianpost
108,russianpost
109,mil
110,russianpost
111,russianpost
112,mil
113,mil
114,mchsgov
115,mchsgov
116,mospolice
117,mospolice
118,russianpost
119,mil
120,mchsgov
121,mospolice
122,russianpost
123,mospolice
124,russianpost
125,mospolice
126,russianpost
127,russianpost
128,mchsgov
129,russianpost
130,mil
131,russianpost
132,mil
133,mchsgov
134,mospolice
135,mospolice
136,mchsgov
137,mil
138,mospolice
139,russianpost
140,mchsgov
141,russianpost
142,russianpost
143,mil
144,mil
145,mchsgov
146,mil
147,mchsgov
148,russianpost
149,mil
150,mchsgov
151,mospolice
152,mil
153,mchsgov
154,mospolice
155,mospolice
156,mil
157,russianpost
158,mchsgov
159,russianpost
160,mil
161,russianpost
162,mchsgov
163,mchsgov
164,mchsgov
165,russianpost
166,mospolice
167,mil
168,mchsgov
169,russianpost
170,russianpost
171,mospolice
172,russianpost
173,mchsgov
174,mchsgov
175,mil
176,mchsgov
177,mospolice
178,mospolice
179,russianpost
180,russianpost
181,mospolice
182,russianpost
183,mil
184,russianpost
185,mchsgov
186,russianpost
187,mospolice
188,russianpost
189,mil
190,russianpost
191,mil
192,mil
193,mospolice
194,mospolice
195,mchsgov
196,mospolice
197,mospolice
198,mospolice
199,russianpost
200,russianpost
201,russianpost
202,mil
203,russianpost
204,russianpost
205,mchsgov
206,russianpost
207,mospolice
208,russianpost
209,mil
210,mospolice
211,russianpost
212,mospolice
213,mchsgov
214,russianpost
215,mchsgov
216,mchsgov
217,mil
218,russianpost
219,mil
220,mil
221,russianpost
222,mospolice
223,russianpost
224,mchsgov
225,russianpost
226,russianpost
227,mil
228,mil
229,russianpost
230,russianpost
231,russianpost
232,mil
233,russianpost
234,russianpost
235,russianpost
236,russianpost
237,mchsgov
238,russianpost
239,russianpost
240,mil
241,mil
242,mil
243,russianpost
244,russianpost
245,mil
246,mchsgov
247,russianpost
248,mospolice
249,mospolice
250,mospolice
251,mchsgov
252,russianpost
253,mospolice
254,russianpost
255,mchsgov
256,russianpost
257,russianpost
258,mchsgov
259,mchsgov
260,mospolice
261,mchsgov
262,mchsgov
263,mchsgov
264,mchsgov
265,mchsgov
266,mospolice
267,russianpost
268,mil
269,mchsgov
270,mospolice
271,russianpost
272,mil
273,russianpost
274,russianpost
275,mil
276,russianpost
277,russianpost
278,mil
279,mchsgov
280,mospolice
281,mil
282,mil
283,mil
284,mospolice
285,mchsgov
286,russianpost
287,mil
288,mospolice
289,russianpost
290,mchsgov
291,mchsgov
292,russianpost
293,russianpost
294,russianpost
295,russianpost
296,russianpost
297,mospolice
298,mil
299,mchsgov
300,mchsgov
301,russianpost
302,mil
303,russianpost
304,russianpost
305,mil
306,mchsgov
307,mospolice
308,mospolice
309,mil
310,mchsgov
311,mil
312,mchsgov
313,russianpost
314,mospolice
315,mil
316,mchsgov
317,mospolice
318,russianpost
319,mospolice
320,mospolice
321,russianpost
322,russianpost
323,mil
324,mchsgov
325,mospolice
326,russianpost
327,mospolice
328,russianpost
329,mospolice
330,mil
331,russianpost
332,mchsgov
333,mil
334,mil
335,mospolice
336,russianpost
337,mchsgov
338,russianpost
339,mil
340,mchsgov
341,mospolice
342,mchsgov
343,mospolice
344,russianpost
345,russianpost
346,mchsgov
347,mospolice
348,mchsgov
349,mospolice
350,mospolice
351,mil
352,russianpost
353,russianpost
354,russianpost
355,russianpost
356,mchsgov
357,mchsgov
358,mchsgov
359,russianpost
360,mil
361,mil
362,mospolice
363,mchsgov
364,russianpost
365,russianpost
366,mchsgov
367,mospolice
368,russianpost
369,mil
370,mospolice
371,mospolice
372,mil
373,mchsgov
374,russianpost
375,mospolice
376,mil
377,mospolice
378,russianpost
379,mospolice
380,mospolice
381,russianpost
382,mil
383,russianpost
384,russianpost
385,mchsgov
386,mospolice
387,mchsgov
388,mospolice
389,mil
390,russianpost
391,mil
392,mospolice
393,mospolice
394,mospolice
395,mchsgov
396,mospolice
397,mospolice
398,russianpost
399,russianpost
400,mchsgov
401,mospolice
402,russianpost
403,russianpost
404,mil
405,mchsgov
406,russianpost
407,mchsgov
408,mospolice
409,mil
410,russianpost
411,mospolice
412,russianpost
413,mchsgov
414,mil
415,russianpost
416,mospolice
417,mospolice
418,mil
419,mchsgov
420,mospolice
421,mchsgov
422,mospolice
423,mospolice
424,russianpost
425,mchsgov
426,russianpost
427,russianpost
428,mchsgov
429,mchsgov
430,russianpost
431,russianpost
432,mchsgov
433,mil
434,russianpost
435,mospolice
436,mospolice
437,mospolice
438,russianpost
439,mospolice
440,mil
441,russianpost
442,mil
443,mospolice
444,mchsgov
445,russianpost
446,russianpost
447,mil
448,mil
449,mil
450,mospolice
451,mchsgov
452,mospolice
453,mospolice
454,mil
455,mchsgov
456,mil
457,mospolice
458,mchsgov
459,mchsgov
460,russianpost
461,russianpost
462,russianpost
463,russianpost
464,mospolice
465,russianpost
466,russianpost
467,mospolice
468,mil
469,russianpost
470,russianpost
471,mil
472,mospolice
473,mil
474,mchsgov
475,mchsgov
476,mchsgov
477,mchsgov
478,russianpost
479,mil
480,mil
481,russianpost
482,mospolice
483,mchsgov
484,russianpost
485,mil
486,mospolice
487,mospolice
488,russianpost
489,mospolice
490,mchsgov
491,russianpost
492,russianpost
493,mchsgov
494,mchsgov
495,russianpost
496,mil
497,mospolice
498,mchsgov
499,russianpost
500,mospolice
501,mospolice
502,mil
503,mospolice
504,mchsgov
505,mchsgov
506,mchsgov
507,russianpost
508,russianpost
509,mospolice
510,mchsgov
511,russianpost
512,mchsgov
513,mospolice
514,mospolice
515,russianpost
516,russianpost
517,russianpost
518,russianpost
519,russianpost
520,mil
521,mchsgov
522,mil
523,russianpost
524,mchsgov
525,russianpost
526,russianpost
527,mchsgov
528,russianpost
529,mospolice
530,mil
531,russianpost
532,russianpost
533,russianpost
534,mospolice
535,russianpost
536,russianpost
537,mil
538,mil
539,mil
540,mil
541,mchsgov
542,mchsgov
543,mchsgov
544,mil
545,mil
546,mil
547,mospolice
548,mchsgov
549,mchsgov
550,russianpost
551,russianpost
552,russianpost
553,mil
554,mil
555,mospolice
556,russianpost
557,mospolice
558,russianpost
559,russianpost
560,russianpost
561,russianpost
562,russianpost
563,mchsgov
564,mchsgov
565,russianpost
566,mospolice
567,mchsgov
568,mchsgov
569,mchsgov
570,mil
571,mchsgov
572,mil
573,mchsgov
574,mil
575,russianpost
576,russianpost
577,russianpost
578,mospolice
579,mospolice
580,russianpost
581,mil
582,mil
583,russianpost
584,mchsgov
585,mil
586,mospolice
587,russianpost
588,mospolice
589,russianpost
590,mil
591,mospolice
592,russianpost
593,mil
594,russianpost
595,russianpost
596,mchsgov
597,mil
598,mospolice
599,russianpost
600,mil
601,russianpost
602,mchsgov
603,mil
604,mchsgov
605,mchsgov
606,mospolice
607,mospolice
608,mil
609,mchsgov
610,mchsgov
611,mospolice
612,mchsgov
613,russianpost
614,russianpost
615,mospolice
616,mospolice
617,mil
618,mospolice
619,mil
620,mil
621,mil
622,russianpost
623,russianpost
624,mil
625,mil
626,russianpost
627,russianpost
628,mil
629,russianpost
630,russianpost
631,mil
632,russianpost
633,mospolice
634,mospolice
635,mil
636,mil
637,mchsgov
638,mospolice
639,mospolice
640,mchsgov
